reg,tla,age_desc,x_gender_desc,all,all_risk_1,all_risk_2,all_risk_3,all_risk_4,all_risk_5,all_risk_6,Maori_risk_1,Maori_risk_2,Maori_risk_3,Maori_risk_4,Maori_risk_5,Maori_risk_6,European_risk_1,European_risk_2,European_risk_3,European_risk_4,European_risk_5,European_risk_6,Asian_risk_1,Asian_risk_2,Asian_risk_3,Asian_risk_4,Asian_risk_5,Asian_risk_6,Pacific_risk_1,Pacific_risk_2,Pacific_risk_3,Pacific_risk_4,Pacific_risk_5,Pacific_risk_6,Other_risk_1,Other_risk_2,Other_risk_3,Other_risk_4,Other_risk_5,Other_risk_6
Canterbury Region,Waitaki District,06-14,Female,54,54,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canterbury Region,Waitaki District,06-14,Male,45,42,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canterbury Region,Waitaki District,15-19,All,66,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canterbury Region,Waitaki District,15-19,Female,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canterbury Region,Waitaki District,15-19,Male,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canterbury Region,Waitaki District,20-24,All,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canterbury Region,Waitaki District,20-24,Female,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canterbury Region,Waitaki District,20-24,Male,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gisborne Region,Gisborne District,00-05,All,4335,3210,1128,429,69,0,0,1677,993,387,57,0,0,1503,162,54,9,0,0,96,0,0,0,0,0,150,27,9,0,0,0,21,0,0,0,0,0
Gisborne Region,Gisborne District,00-05,Female,2124,1560,564,222,33,0,0,834,495,198,27,0,0,726,84,30,6,0,0,42,0,0,0,0,0,66,12,0,0,0,0,9,0,0,0,0,0
Gisborne Region,Gisborne District,00-05,Male,2211,1647,564,207,33,0,0,846,498,189,30,0,0,774,78,24,0,0,0,57,0,0,0,0,0,81,15,6,0,0,0,12,0,0,0,0,0
Gisborne Region,Gisborne District,06-14,All,6477,4998,1479,501,81,0,0,2703,1299,456,78,0,0,2496,264,72,12,0,0,105,6,0,0,0,0,192,57,21,0,0,0,18,0,0,0,0,0
Gisborne Region,Gisborne District,06-14,Female,3087,2379,705,237,39,0,0,1287,618,216,39,0,0,1185,126,33,6,0,0,48,0,0,0,0,0,96,24,9,0,0,0,9,0,0,0,0,0
Gisborne Region,Gisborne District,06-14,Male,3390,2619,771,264,42,0,0,1416,681,237,39,0,0,1311,138,39,0,0,0,57,0,0,0,0,0,96,33,12,0,0,0,12,0,0,0,0,0
Gisborne Region,Gisborne District,15-19,All,3624,90,237,93,261,327,720,63,186,75,216,288,585,27,75,15,54,63,177,0,0,0,0,0,0,0,9,0,6,12,24,0,0,0,0,0,0
Gisborne Region,Gisborne District,15-19,Female,1809,33,108,93,0,165,309,24,90,75,0,150,258,9,27,15,0,27,72,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0
Gisborne Region,Gisborne District,15-19,Male,1815,57,126,0,261,162,414,39,96,0,216,138,327,18,42,0,54,33,108,0,0,0,0,0,0,0,0,0,6,6,12,0,0,0,0,0,0
Gisborne Region,Gisborne District,20-24,All,3141,210,195,27,135,66,579,174,162,18,120,42,471,54,45,12,36,24,159,0,0,0,0,0,0,9,0,0,0,0,15,0,0,0,0,0,0
Gisborne Region,Gisborne District,20-24,Female,1464,33,69,18,132,33,246,30,63,12,114,18,201,12,12,6,36,18,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gisborne Region,Gisborne District,20-24,Male,1677,177,126,12,0,33,336,147,102,6,0,24,267,45,33,0,0,9,84,0,0,0,0,0,0,6,0,0,0,0,9,0,0,0,0,0,0
Hawkes Bay Region,Central Hawkes Bay District,00-05,All,1038,861,174,63,12,0,0,240,120,42,6,0,0,702,93,30,6,0,0,24,0,0,0,0,0,24,12,0,0,0,0,0,0,0,0,0,0
Hawkes Bay Region,Central Hawkes Bay District,00-05,Female,534,453,84,27,6,0,0,120,60,15,0,0,0,369,42,12,0,0,0,12,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0
Hawkes Bay Region,Central Hawkes Bay District,00-05,Male,504,408,93,36,9,0,0,123,63,27,6,0,0,333,51,18,0,0,0,12,0,0,0,0,0,12,9,0,0,0,0,0,0,0,0,0,0
Hawkes Bay Region,Central Hawkes Bay District,06-14,All,1437,1218,219,90,9,0,0,306,129,60,6,0,0,981,117,45,9,0,0,12,0,0,0,0,0,30,6,0,0,0,0,0,0,0,0,0,0
Hawkes Bay Region,Central Hawkes Bay District,06-14,Female,678,573,105,48,6,0,0,156,69,33,0,0,0,453,48,18,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0
Hawkes Bay Region,Central Hawkes Bay District,06-14,Male,759,645,111,42,0,0,0,150,60,24,0,0,0,528,66,27,0,0,0,9,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0
Hawkes Bay Region,Central Hawkes Bay District,15-19,All,849,9,21,9,48,39,102,0,9,9,24,27,51,9,18,0,21,24,60,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0
Hawkes Bay Region,Central Hawkes Bay District,15-19,Female,390,0,9,9,0,18,30,0,0,6,0,15,18,0,9,0,0,12,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hawkes Bay Region,Central Hawkes Bay District,15-19,Male,459,0,12,0,48,21,69,0,0,0,24,12,33,0,12,0,21,12,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hawkes Bay Region,Central Hawkes Bay District,20-24,All,684,18,36,6,21,15,87,12,21,0,12,0,45,9,18,6,9,9,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hawkes Bay Region,Central Hawkes Bay District,20-24,Female,309,0,9,0,18,0,33,0,0,0,12,0,18,0,0,0,9,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hawkes Bay Region,Central Hawkes Bay District,20-24,Male,372,18,27,0,0,9,54,12,15,0,0,0,30,9,12,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hawkes Bay Region,Hastings District,00-05,All,6792,5238,1551,564,105,0,0,1581,1203,456,90,0,0,3561,525,195,30,0,0,330,12,0,0,0,0,540,156,42,6,0,0,51,0,0,0,0,0
Hawkes Bay Region,Hastings District,00-05,Female,3354,2592,762,273,54,0,0,780,591,216,45,0,0,1773,252,99,15,0,0,159,9,0,0,0,0,255,69,15,0,0,0,27,0,0,0,0,0
Hawkes Bay Region,Hastings District,00-05,Male,3435,2646,789,291,54,0,0,798,615,243,42,0,0,1788,273,96,15,0,0,171,6,0,0,0,0,285,84,27,0,0,0,24,0,0,0,0,0
Hawkes Bay Region,Hastings District,06-14,All,10080,8061,2022,720,138,0,0,2139,1443,558,105,0,0,5667,645,201,39,0,0,348,24,6,0,0,0,669,255,69,12,0,0,48,0,0,0,0,0
Hawkes Bay Region,Hastings District,06-14,Female,4980,3975,1008,348,75,0,0,1038,738,279,60,0,0,2793,321,93,24,0,0,159,12,0,0,0,0,318,120,36,9,0,0,24,0,0,0,0,0
Hawkes Bay Region,Hastings District,06-14,Male,5097,4083,1011,372,60,0,0,1101,705,279,48,0,0,2871,327,105,15,0,0,186,12,0,0,0,0,348,138,36,6,0,0,24,0,0,0,0,0
Hawkes Bay Region,Hastings District,15-19,All,5649,93,240,102,333,411,852,36,132,69,222,294,516,57,135,42,108,132,354,0,0,0,6,9,18,0,12,6,27,33,60,0,0,0,0,0,0
Hawkes Bay Region,Hastings District,15-19,Female,2727,36,96,102,0,201,339,15,51,66,0,141,207,24,63,42,0,63,144,0,0,0,0,0,6,0,6,6,0,12,21,0,0,0,0,0,0
Hawkes Bay Region,Hastings District,15-19,Male,2922,57,141,0,333,207,513,24,84,0,225,150,309,36,69,0,108,69,213,0,0,0,6,6,12,0,6,0,30,21,36,0,0,0,0,0,0
Hawkes Bay Region,Hastings District,20-24,All,4527,234,237,42,171,93,714,165,147,24,129,30,450,81,105,24,69,63,318,0,0,0,0,0,0,21,9,0,15,0,45,0,0,0,0,0,0
Hawkes Bay Region,Hastings District,20-24,Female,2199,27,84,21,168,36,294,21,57,9,126,15,201,9,39,12,66,24,132,0,0,0,0,0,0,0,0,0,12,0,18,0,0,0,0,0,0
Hawkes Bay Region,Hastings District,20-24,Male,2328,207,153,24,0,57,420,141,90,15,0,15,249,75,66,15,0,39,186,0,0,0,0,0,0,21,6,0,0,0,27,0,0,0,0,0,0
Hawkes Bay Region,Napier City,00-05,All,4914,3771,1146,405,75,0,0,981,792,297,54,0,0,2931,495,159,30,0,0,189,6,0,0,0,0,192,63,27,9,0,0,66,15,0,0,0,0
Hawkes Bay Region,Napier City,00-05,Female,2478,1878,600,198,39,0,0,492,408,138,27,0,0,1461,252,81,18,0,0,87,0,0,0,0,0,87,39,15,0,0,0,33,12,0,0,0,0
Hawkes Bay Region,Napier City,00-05,Male,2439,1893,546,207,36,0,0,486,384,159,30,0,0,1470,243,75,15,0,0,99,0,0,0,0,0,105,24,12,0,0,0,33,6,0,0,0,0
Hawkes Bay Region,Napier City,06-14,All,6954,5670,1284,471,102,0,0,1317,816,336,75,0,0,4443,612,201,51,0,0,165,12,0,0,0,0,273,69,15,0,0,0,30,6,0,0,0,0
Hawkes Bay Region,Napier City,06-14,Female,3471,2829,642,237,60,0,0,651,420,174,48,0,0,2223,300,105,30,0,0,84,9,0,0,0,0,129,27,6,0,0,0,12,0,0,0,0,0
Hawkes Bay Region,Napier City,06-14,Male,3483,2841,639,234,42,0,0,669,396,162,27,0,0,2217,309,96,21,0,0,81,0,0,0,0,0,141,42,12,0,0,0,21,0,0,0,0,0
Hawkes Bay Region,Napier City,15-19,All,4164,72,189,78,237,342,675,15,78,45,141,207,348,51,132,33,111,159,363,0,0,0,0,0,6,0,0,0,0,18,30,0,0,0,0,0,0
Hawkes Bay Region,Napier City,15-19,Female,2064,18,90,81,0,162,267,0,42,48,0,99,141,12,57,33,0,66,135,0,0,0,0,0,0,0,0,0,0,9,15,0,0,0,0,0,0
Hawkes Bay Region,Napier City,15-19,Male,2103,51,105,0,237,180,411,9,39,0,144,108,207,39,75,0,111,93,228,0,0,0,0,0,0,0,0,0,0,9,18,0,0,0,0,0,0
Hawkes Bay Region,Napier City,20-24,All,3540,159,216,54,120,87,567,102,126,21,84,21,306,63,102,36,54,66,300,0,0,0,0,0,6,9,0,0,0,0,21,0,0,0,0,0,0
Hawkes Bay Region,Napier City,20-24,Female,1767,27,78,33,117,36,243,27,54,15,81,0,144,0,30,24,51,30,126,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0
Hawkes Bay Region,Napier City,20-24,Male,1773,135,135,21,0,48,321,78,69,9,0,15,162,60,72,15,0,36,171,0,0,0,0,0,6,12,0,0,0,0,12,0,0,0,0,0,0
Hawkes Bay Region,Rangitikei District,00-05,All,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hawkes Bay Region,Rangitikei District,00-05,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hawkes Bay Region,Rangitikei District,20-24,All,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hawkes Bay Region,Rangitikei District,20-24,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hawkes Bay Region,Taupo District,00-05,All,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hawkes Bay Region,Taupo District,00-05,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hawkes Bay Region,Taupo District,00-05,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hawkes Bay Region,Taupo District,06-14,All,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hawkes Bay Region,Taupo District,06-14,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hawkes Bay Region,Taupo District,06-14,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hawkes Bay Region,Taupo District,15-19,All,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hawkes Bay Region,Taupo District,15-19,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hawkes Bay Region,Taupo District,15-19,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hawkes Bay Region,Taupo District,20-24,All,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hawkes Bay Region,Taupo District,20-24,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hawkes Bay Region,Taupo District,20-24,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hawkes Bay Region,Wairoa District,00-05,All,744,528,216,87,12,0,0,366,204,84,9,0,0,213,27,12,0,0,0,21,0,0,0,0,0,18,6,0,0,0,0,0,0,0,0,0,0
Hawkes Bay Region,Wairoa District,00-05,Female,351,243,108,45,0,0,0,156,105,42,0,0,0,108,18,9,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hawkes Bay Region,Wairoa District,00-05,Male,393,285,108,45,0,0,0,207,102,42,0,0,0,102,9,0,0,0,0,12,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0
Hawkes Bay Region,Wairoa District,06-14,All,1095,813,279,75,12,0,0,582,255,69,12,0,0,315,45,12,0,0,0,12,0,0,0,0,0,18,6,0,0,0,0,0,0,0,0,0,0
Hawkes Bay Region,Wairoa District,06-14,Female,561,414,147,42,9,0,0,315,135,39,9,0,0,144,21,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0
Hawkes Bay Region,Wairoa District,06-14,Male,531,399,135,33,0,0,0,270,120,27,0,0,0,168,24,6,0,0,0,9,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0
Hawkes Bay Region,Wairoa District,15-19,All,582,15,27,15,45,51,114,12,21,15,45,48,99,0,9,0,6,9,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hawkes Bay Region,Wairoa District,15-19,Female,273,0,12,18,0,27,45,0,12,18,0,27,42,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hawkes Bay Region,Wairoa District,15-19,Male,312,12,12,0,45,24,69,9,12,0,42,21,60,0,6,0,6,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hawkes Bay Region,Wairoa District,20-24,All,471,33,39,0,27,9,96,30,39,0,24,6,87,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hawkes Bay Region,Wairoa District,20-24,Female,243,0,15,0,24,0,39,0,12,0,21,0,39,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hawkes Bay Region,Wairoa District,20-24,Male,228,27,24,0,0,0,57,24,24,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Manawatu-Wanganui Region,Horowhenua District,00-05,All,2229,1596,636,276,63,0,0,435,378,186,42,0,0,1104,297,123,30,0,0,69,0,0,0,0,0,138,54,21,0,0,0,0,0,0,0,0,0
Manawatu-Wanganui Region,Horowhenua District,00-05,Female,1116,816,300,132,33,0,0,234,177,81,18,0,0,549,132,57,18,0,0,36,0,0,0,0,0,75,18,9,0,0,0,0,0,0,0,0,0
Manawatu-Wanganui Region,Horowhenua District,00-05,Male,1116,777,336,144,30,0,0,204,201,102,24,0,0,558,165,66,15,0,0,33,0,0,0,0,0,66,33,12,0,0,0,0,0,0,0,0,0
Manawatu-Wanganui Region,Horowhenua District,06-14,All,3564,2754,807,279,69,0,0,681,441,171,45,0,0,1932,417,141,30,0,0,81,0,0,0,0,0,186,48,12,0,0,0,18,0,0,0,0,0
Manawatu-Wanganui Region,Horowhenua District,06-14,Female,1776,1383,396,126,27,0,0,324,210,72,18,0,0,981,207,63,12,0,0,42,0,0,0,0,0,90,24,9,0,0,0,6,0,0,0,0,0
Manawatu-Wanganui Region,Horowhenua District,06-14,Male,1788,1374,414,153,42,0,0,357,231,99,30,0,0,951,213,75,21,0,0,42,0,0,0,0,0,96,27,0,0,0,0,12,0,0,0,0,0
Manawatu-Wanganui Region,Horowhenua District,15-19,All,2079,60,129,51,135,195,417,18,63,18,75,105,198,39,75,33,57,99,225,0,0,0,0,0,0,0,9,0,6,6,21,0,0,0,0,0,0
Manawatu-Wanganui Region,Horowhenua District,15-19,Female,1038,15,51,48,0,111,189,0,18,18,0,57,81,12,33,33,0,60,108,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0
Manawatu-Wanganui Region,Horowhenua District,15-19,Male,1041,42,78,0,135,87,228,15,45,0,75,51,117,27,42,0,57,42,120,0,0,0,0,0,0,0,6,0,6,0,9,0,0,0,0,0,0
Manawatu-Wanganui Region,Horowhenua District,20-24,All,1722,75,105,21,99,42,312,33,51,0,48,12,129,33,60,18,63,33,192,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0
Manawatu-Wanganui Region,Horowhenua District,20-24,Female,846,15,39,9,96,21,156,9,24,0,48,9,69,0,24,12,63,15,102,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0
Manawatu-Wanganui Region,Horowhenua District,20-24,Male,873,60,66,9,0,21,156,27,30,0,0,0,60,30,36,9,0,15,90,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0
Manawatu-Wanganui Region,Manawatu District,00-05,All,2136,1854,282,99,27,0,0,294,141,60,12,0,0,1647,162,51,15,0,0,36,0,0,0,0,0,27,15,6,0,0,0,0,0,0,0,0,0
Manawatu-Wanganui Region,Manawatu District,00-05,Female,1026,876,150,54,15,0,0,135,66,27,9,0,0,780,90,27,6,0,0,21,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0
Manawatu-Wanganui Region,Manawatu District,00-05,Male,1110,978,132,48,12,0,0,156,72,30,6,0,0,864,72,24,9,0,0,18,0,0,0,0,0,15,12,0,0,0,0,0,0,0,0,0,0
Manawatu-Wanganui Region,Manawatu District,06-14,All,3333,2907,429,138,27,0,0,372,192,66,12,0,0,2469,261,78,15,0,0,45,0,0,0,0,0,33,15,6,0,0,0,6,0,0,0,0,0
Manawatu-Wanganui Region,Manawatu District,06-14,Female,1611,1386,225,69,15,0,0,165,96,36,9,0,0,1179,141,39,9,0,0,21,0,0,0,0,0,18,6,0,0,0,0,0,0,0,0,0,0
Manawatu-Wanganui Region,Manawatu District,06-14,Male,1722,1518,204,69,12,0,0,204,96,30,0,0,0,1287,120,39,9,0,0,24,0,0,0,0,0,18,9,0,0,0,0,0,0,0,0,0,0
Manawatu-Wanganui Region,Manawatu District,15-19,All,1971,42,66,21,72,105,240,0,15,6,24,36,72,39,57,12,48,66,174,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0
Manawatu-Wanganui Region,Manawatu District,15-19,Female,954,15,36,21,0,45,99,0,9,9,0,18,27,12,30,15,0,27,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Manawatu-Wanganui Region,Manawatu District,15-19,Male,1017,30,33,0,72,60,141,0,6,0,24,18,42,24,24,0,48,39,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Manawatu-Wanganui Region,Manawatu District,20-24,All,1560,33,42,12,33,36,141,9,12,0,15,0,33,24,24,9,21,30,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Manawatu-Wanganui Region,Manawatu District,20-24,Female,726,0,15,6,30,12,60,0,6,0,12,0,15,0,9,6,21,12,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Manawatu-Wanganui Region,Manawatu District,20-24,Male,834,30,24,0,0,24,81,9,6,0,0,0,18,21,15,0,0,18,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Manawatu-Wanganui Region,Palmerston North City,00-05,All,6747,5736,1011,384,69,0,0,1071,498,204,45,0,0,4113,576,204,33,0,0,624,15,0,0,0,0,426,60,24,0,0,0,120,12,0,0,0,0
Manawatu-Wanganui Region,Palmerston North City,00-05,Female,3270,2766,504,180,30,0,0,486,246,108,21,0,0,2013,282,90,12,0,0,294,9,0,0,0,0,207,30,15,0,0,0,60,0,0,0,0,0
Manawatu-Wanganui Region,Palmerston North City,00-05,Male,3474,2967,507,207,36,0,0,588,255,99,21,0,0,2097,294,114,18,0,0,327,0,0,0,0,0,219,33,12,0,0,0,63,6,0,0,0,0
Manawatu-Wanganui Region,Palmerston North City,06-14,All,9201,7857,1344,468,87,0,0,1272,657,246,51,0,0,5673,714,243,45,0,0,615,12,0,0,0,0,405,78,24,0,0,0,111,0,0,0,0,0
Manawatu-Wanganui Region,Palmerston North City,06-14,Female,4446,3807,639,237,48,0,0,615,309,117,24,0,0,2718,336,123,27,0,0,306,0,0,0,0,0,195,39,15,0,0,0,51,0,0,0,0,0
Manawatu-Wanganui Region,Palmerston North City,06-14,Male,4755,4053,702,231,39,0,0,657,348,126,27,0,0,2955,378,120,18,0,0,312,9,0,0,0,0,213,39,9,0,0,0,60,0,0,0,0,0
Manawatu-Wanganui Region,Palmerston North City,15-19,All,5376,147,249,87,255,357,774,33,75,42,120,183,303,105,177,48,129,174,462,0,0,0,0,0,9,0,9,0,15,18,30,0,0,0,0,0,0
Manawatu-Wanganui Region,Palmerston North City,15-19,Female,2610,51,108,87,0,174,318,9,30,42,0,93,132,39,78,45,0,84,192,0,0,0,0,0,0,0,0,0,0,6,12,0,0,0,0,0,0
Manawatu-Wanganui Region,Palmerston North City,15-19,Male,2766,96,141,0,255,183,456,27,42,0,120,93,171,66,99,0,129,90,270,0,0,0,0,0,6,0,0,0,15,9,18,0,0,0,0,0,0
Manawatu-Wanganui Region,Palmerston North City,20-24,All,7131,168,213,57,147,138,651,78,84,21,72,30,255,84,135,42,90,105,411,0,0,0,0,0,6,0,12,0,12,0,24,0,0,0,0,0,0
Manawatu-Wanganui Region,Palmerston North City,20-24,Female,3678,24,75,27,144,63,285,15,39,9,72,12,120,12,48,21,87,48,186,0,0,0,0,0,0,0,0,0,12,0,15,0,0,0,0,0,0
Manawatu-Wanganui Region,Palmerston North City,20-24,Male,3453,141,138,27,0,78,366,63,45,12,0,18,132,72,87,21,0,57,222,0,0,0,0,0,0,0,9,0,0,0,12,0,0,0,0,0,0
Manawatu-Wanganui Region,Rangitikei District,00-05,All,1191,987,201,66,9,0,0,240,117,36,0,0,0,741,117,36,0,0,0,18,0,0,0,0,0,96,15,0,0,0,0,0,0,0,0,0,0
Manawatu-Wanganui Region,Rangitikei District,00-05,Female,576,483,96,33,0,0,0,111,60,18,0,0,0,351,48,18,0,0,0,12,0,0,0,0,0,45,9,0,0,0,0,0,0,0,0,0,0
Manawatu-Wanganui Region,Rangitikei District,00-05,Male,612,507,105,33,0,0,0,126,60,21,0,0,0,387,69,18,0,0,0,0,0,0,0,0,0,51,6,0,0,0,0,0,0,0,0,0,0
Manawatu-Wanganui Region,Rangitikei District,06-14,All,1674,1422,252,69,9,0,0,363,159,42,6,0,0,1056,108,33,0,0,0,12,0,0,0,0,0,84,6,0,0,0,0,0,0,0,0,0,0
Manawatu-Wanganui Region,Rangitikei District,06-14,Female,810,672,135,39,6,0,0,177,90,24,0,0,0,495,54,21,0,0,0,0,0,0,0,0,0,45,6,0,0,0,0,0,0,0,0,0,0
Manawatu-Wanganui Region,Rangitikei District,06-14,Male,864,750,117,30,0,0,0,186,69,21,0,0,0,561,54,12,0,0,0,9,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0
Manawatu-Wanganui Region,Rangitikei District,15-19,All,993,21,42,15,45,48,129,12,21,9,27,30,72,15,27,9,24,18,69,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0
Manawatu-Wanganui Region,Rangitikei District,15-19,Female,468,9,27,18,0,24,57,0,15,9,0,18,33,0,12,6,0,9,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Manawatu-Wanganui Region,Rangitikei District,15-19,Male,528,15,15,0,45,24,75,9,6,0,27,15,39,9,12,0,24,12,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Manawatu-Wanganui Region,Rangitikei District,20-24,All,888,36,36,6,21,15,108,24,21,0,9,0,54,12,18,0,12,12,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Manawatu-Wanganui Region,Rangitikei District,20-24,Female,432,9,9,0,21,12,48,6,9,0,9,0,21,0,0,0,12,9,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Manawatu-Wanganui Region,Rangitikei District,20-24,Male,456,30,24,0,0,0,60,18,15,0,0,0,33,12,12,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Manawatu-Wanganui Region,Ruapehu District,00-05,All,1119,822,297,114,27,0,0,390,249,102,24,0,0,504,72,27,0,0,0,21,0,0,0,0,0,21,9,6,0,0,0,0,0,0,0,0,0
Manawatu-Wanganui Region,Ruapehu District,00-05,Female,552,414,141,51,9,0,0,198,117,42,6,0,0,240,33,12,0,0,0,12,0,0,0,0,0,9,6,0,0,0,0,0,0,0,0,0,0
Manawatu-Wanganui Region,Ruapehu District,00-05,Male,567,411,156,63,18,0,0,192,132,60,18,0,0,261,39,15,0,0,0,9,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0
